Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.058162,-0.001978,-0.018239,0,0,0,62.47,2.916537,0.007559,0.411053,3.799113,0.001749,5.914597,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/base_link.STL,,base-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist_roll1_link,0.099822,0.00039,-0.0001,0,0,0,2.69,0.017262,-6.7E-05,-1.3E-05,0.016885,0,0.024597,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/waist_roll1_link.STL,1,1,1,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/waist_roll1_link.STL,,waist_roll1-2,waist_roll1_link,waist_roll1_joint,waist_roll1_joint,revolute,-0.165,0,0.132,0,0,0,base_link,1,0,0,0,0,-0.34907,0.34907,,,,,,,,
waist_pitch2_link,0,-0.001426,0.175,0,0,0,18.99,0.516376,0,0,0.522814,0,0.053628,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/waist_pitch2_link.STL,1,1,1,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/waist_pitch2_link.STL,,waist_pitch2-1,waist_pitch2_link,waist_pitch2_joint,waist_pitch2_joint,revolute,0.165,0,0,0,0,0,waist_roll1_link,0,1,0,0,0,-0.5236,1.5708,,,,,,,,
waist_pitch3_link,0.000433,0.000676,0.15894,0,0,0,4.33,0.051709,0,9E-06,0.039901,-0.000489,0.017939,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/waist_pitch3_link.STL,1,1,1,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/waist_pitch3_link.STL,,waist_pitch3-1,waist_pitch3_link,waist_pitch3_joint,waist_pitch3_joint,revolute,0,0,0.35,0,0,0,waist_pitch2_link,0,1,0,0,0,-2.4783675378,1.5707963268,,,,,,,,
waist_pitch4_link,0.10191,0.001193,-0.00034,0,0,0,3.78,0.005644,-4E-06,-7.6E-05,0.008233,0.000314,0.009208,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/waist_pitch4_link.STL,1,1,1,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/waist_pitch4_link.STL,,waist_pitch4-1,waist_pitch4_link,waist_pitch4_joint,waist_pitch4_joint,revolute,0,0,0.35,0,0,0,waist_pitch3_link,0,1,0,0,0,-0.7854,1.5708,,,,,,,,
waist_roll5_link,-0.005979,0,0.019271,0,0,0,4.01,0.01104,0,-0.005702,0.022909,0,0.019777,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/waist_roll5_link.STL,1,1,1,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/waist_roll5_link.STL,,waist_roll5-1,waist_roll5_link,waist_roll5_joint,waist_roll5_joint,revolute,-0.1,0.001,0,0,0,0,waist_pitch4_link,1,0,0,0,0,-0.5236,0.5236,,,,,,,,
waist_yaw_link,0.000264,0.000258,-0.086595,0,0,0,12,0.271692,0,0.000672,0.173256,4.8E-05,0.155844,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/waist_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/waist_yaw_link.STL,,waist_yaw-1,waist_yaw_link,waist_yaw_joint,waist_yaw_joint,revolute,0.099969,0,0.35066,-0.0029851,0,0,waist_roll5_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
left_shoulder_pitch_link,-0.004303,0.020182,0.002701,0,0,0,0.2865,0.000347,6.8E-05,-8E-06,0.000481,1.3E-05,0.000521,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/left_shoulder_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/left_shoulder_pitch_link.STL,,left_shoulder_pitch-1,left_shoulder_pitch_link,left_shoulder_pitch_joint,left_shoulder_pitch_joint,revolute,-0.00031044,0.1935,0.00057762,0.0029851,0,0,waist_yaw_link,0,1,0,0,0,-2.3562,2.3562,,,,,,,,
left_shoulder_roll_link,-0.000341,0.000486,-0.012205,0,0,0,2.2119,0.003563,0,5.8E-05,0.003701,7.1E-05,0.0024,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/left_shoulder_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/left_shoulder_roll_link.STL,,left_shoulder_roll-1,left_shoulder_roll_link,left_shoulder_roll_joint,left_shoulder_roll_joint,revolute,0,0.0565,0,0,0,0,left_shoulder_pitch_link,1,0,0,0,0,-0.24435,2.8972,,,,,,,,
left_shoulder_yaw_link,0.000815,-0.000629,-0.080506,0,0,0,2.5816,0.008142,7.2E-05,0.000292,0.008029,-0.000289,0.003462,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/left_shoulder_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/left_shoulder_yaw_link.STL,,left_shoulder_yaw-1,left_shoulder_yaw_link,left_shoulder_yaw_joint,left_shoulder_yaw_joint,revolute,0,0,-0.0765,0,0,0,left_shoulder_roll_link,0,0,1,0,0,-2.0944,2.0944,,,,,,,,
left_elbow_pitch_link,0.011064,0.000878,-0.009088,0,0,0,1.5621,0.001614,-1.6E-05,0.000433,0.002162,6E-06,0.001743,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/left_elbow_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/left_elbow_pitch_link.STL,,left_elbow_pitch-1,left_elbow_pitch_link,left_elbow_pitch_joint,left_elbow_pitch_joint,revolute,0.031,0,-0.2005,0,0,0,left_shoulder_yaw_link,0,1,0,0,0,-1.0821,1.5708,,,,,,,,
left_wrist_roll_link,0.095727,0,-0.000767,0,0,0,1.1706,0.000842,0,-3.2E-05,0.003306,0,0.003156,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/left_wrist_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/left_wrist_roll_link.STL,,left_wrist_roll-1,left_wrist_roll_link,left_wrist_roll_joint,left_wrist_roll_joint,revolute,0.058,0,-0.030788,0,0,0,left_elbow_pitch_link,1,0,0,0,0,-3.1416,3.1416,,,,,,,,
left_wrist_yaw_link,-0.000269,-0.004372,-0.00055,0,0,0,2.5678,0.002237,2.6E-05,0,0.001864,-6.9E-05,0.002157,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/left_wrist_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/left_wrist_yaw_link.STL,,left_wrist_yaw-1,left_wrist_yaw_link,left_wrist_yaw_joint,left_wrist_yaw_joint,revolute,0.234,0,-0.00021166,0,0,0,left_wrist_roll_link,0,0,1,0,0,-0.7854,0.7854,,,,,,,,
left_wrist_pitch_link,0.031811,0.031463,0,0,0,0,0.1,3.8E-05,2.8E-05,0,0.000109,0,0.000117,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/left_wrist_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/left_wrist_pitch_link.STL,,left_wrist_pitch-1,left_wrist_pitch_link,left_wrist_pitch_joint,left_wrist_pitch_joint,revolute,0,0,0,0,0,0,left_wrist_yaw_link,0,1,0,0,0,-1.5708,1.5708,,,,,,,,
right_shoulder_pitch_link,-0.004303,-0.020182,0.002701,0,0,0,0.2865,0.000347,-6.8E-05,-8E-06,0.000481,-1.3E-05,0.000521,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/right_shoulder_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/right_shoulder_pitch_link.STL,,right_shoulder_pitch-1,right_shoulder_pitch_link,right_shoulder_pitch_joint,right_shoulder_pitch_joint,revolute,-0.00031044,-0.1935,-0.00057762,0.0029851,0,0,waist_yaw_link,0,1,0,0,0,-2.3562,2.3562,,,,,,,,
right_shoulder_roll_link,-0.000341,0.000486,-0.012205,0,0,0,2.2119,0.003563,0,5.8E-05,0.003701,7.1E-05,0.0024,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/right_shoulder_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/right_shoulder_roll_link.STL,,right_shoulder_roll-1,right_shoulder_roll_link,right_shoulder_roll_joint,right_shoulder_roll_joint,revolute,0,-0.0565,0,0,0,0,right_shoulder_pitch_link,1,0,0,0,0,-2.8972,0.24435,,,,,,,,
right_shoulder_yaw_link,0.000815,0.000629,-0.080506,0,0,0,2.5816,0.008142,-7.2E-05,0.000292,0.008029,0.000289,0.003462,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/right_shoulder_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/right_shoulder_yaw_link.STL,,right_shoulder_yaw-1,right_shoulder_yaw_link,right_shoulder_yaw_joint,right_shoulder_yaw_joint,revolute,0,0,-0.0765,0,0,0,right_shoulder_roll_link,0,0,1,0,0,-2.0944,2.0944,,,,,,,,
right_elbow_pitch_link,0.011064,-0.000878,-0.009088,0,0,0,1.5621,0.001614,1.6E-05,0.000433,0.002162,-6E-06,0.001743,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/right_elbow_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/right_elbow_pitch_link.STL,,right_elbow_pitch-1,right_elbow_pitch_link,right_elbow_pitch_joint,right_elbow_pitch_joint,revolute,0.031,0,-0.2005,0,0,0,right_shoulder_yaw_link,0,1,0,0,0,-1.0821,1.5708,,,,,,,,
right_wrist_roll_link,0.095727,0,-0.000344,0,0,0,1.1706,0.000997,0,-3.7E-05,0.003916,0,0.003739,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/right_wrist_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/right_wrist_roll_link.STL,,right_wrist_roll-1,right_wrist_roll_link,right_wrist_roll_joint,right_wrist_roll_joint,revolute,0.058,0,-0.031212,0,0,0,right_elbow_pitch_link,1,0,0,0,0,-3.1416,3.1416,,,,,,,,
right_wrist_yaw_link,-0.000269,0.004372,-0.00055,0,0,0,2.5678,0.002237,-2.6E-05,0,0.001864,6.9E-05,0.002157,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/right_wrist_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/right_wrist_yaw_link.STL,,right_wrist_yaw-1,right_wrist_yaw_link,right_wrist_yaw_joint,right_wrist_yaw_joint,revolute,0.234,0,0.00021166,0,0,0,right_wrist_roll_link,0,0,1,0,0,-0.7854,0.7854,,,,,,,,
right_wrist_pitch_link,0.031811,-0.031463,0,0,0,0,0.1,3.8E-05,-2.8E-05,0,0.000109,0,0.000117,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/right_wrist_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WH04AA.SLDASM/meshes/right_wrist_pitch_link.STL,,right_wrist_pitch-1,right_wrist_pitch_link,right_wrist_pitch_joint,right_wrist_pitch_joint,revolute,0,0,0,0,0,0,right_wrist_yaw_link,0,1,0,0,0,-1.5708,1.5708,,,,,,,,
